YYMMDD,HHMMSS,Course,Bearing
100112,120000,205,-153.5
100112,120050,200,-152.9
100112,120140,199.99,-152.3
100112,120230,199.99,-151.7
100112,120320,199.99,-151.1
100112,120410,199.99,-150.4
100112,120500,199.99,-149.7
100112,120550,199.99,-149
100112,120640,199.99,-148.3
100112,120730,199.99,-147.5
100112,120820,199.99,-146.8
100112,120910,199.99,-145.9
100112,121000,199.99,-145.1
100112,121050,199.99,-144.2
100112,121140,199.99,-143.3
100112,121230,199.99,-142.4
100112,121320,199.99,-141.4
100112,121410,199.99,-140.4
100112,121500,199.99,-139.4
100112,121550,199.99,-138.3
100112,121640,199.99,-137.2
100112,121730,199.99,-136
100112,121820,199.99,-134.8
100112,121910,199.99,-133.6
100112,122000,199.99,-132.3
100112,122050,199.99,-130.9
100112,122140,199.99,-129.6
100112,122230,199.99,-128.1
100112,122320,199.99,-126.7
100112,122410,199.99,-125.1
100112,122500,244.2,-124
100112,122550,288.42,-123.7
100112,122640,312.67,-123.9
100112,122730,312.86,-124.2
100112,122820,312.86,-124.5
100112,122910,312.86,-124.7
100112,123000,312.86,-125
100112,123050,312.86,-125.3
100112,123140,312.86,-125.6
100112,123230,312.86,-125.9
100112,123320,312.86,-126.2
100112,123410,312.86,-126.5
100112,123500,312.86,-126.8
100112,123550,312.86,-127.1
100112,123640,312.86,-127.4
100112,123730,312.86,-127.7
100112,123820,312.86,-128.2
100112,123910,312.86,-128.6
100112,124000,312.86,-129
100112,124050,312.86,-129.5
100112,124140,312.86,-129.9
100112,124230,312.86,-130.4
100112,124320,312.86,-130.9
100112,124410,312.86,-131.4
100112,124500,312.86,-131.9
100112,124550,312.86,-132.4
100112,124640,312.86,-133
100112,124730,312.86,-133.5
100112,124820,312.86,-134.1
100112,124910,312.86,-134.7
100112,125000,312.86,-135.2
100112,125050,312.86,-135.9
100112,125140,312.86,-136.5
100112,125230,312.86,-137.1
100112,125320,312.86,-137.8
100112,125410,312.86,-138.4
100112,125500,357.08,-138.9
100112,125550,41.29,-138.6
100112,125640,61.56,-137.2
100112,125730,61.63,-135.8
100112,125820,61.63,-134.4
100112,125910,61.63,-133
100112,130000,61.63,-131.7
100112,130050,61.63,-130.4
100112,130140,61.63,-129.2
100112,130230,61.63,-128
100112,130320,61.63,-126.8
100112,130410,61.63,-125.7
100112,130500,61.63,-124.6
100112,130550,61.63,-123.5
100112,130640,61.63,-122.5
100112,130730,61.63,-121.5
100112,130820,61.63,-120.5
100112,130910,61.63,-119.6
100112,131000,61.63,-118.7
100112,131050,61.63,-117.8
100112,131140,61.63,-117
100112,131230,61.63,-116.1
100112,131320,61.63,-115.4
100112,131410,61.63,-114.6
100112,131500,61.63,-113.8
100112,131550,61.63,-113.1
100112,131640,61.63,-112.4
100112,131730,61.63,-111.8
100112,131820,61.63,-111.1
100112,131910,61.63,-110.5
100112,132000,61.63,-109.9
100112,132050,61.63,-109.3
100112,132140,61.63,-108.7
100112,132230,61.63,-108.1
100112,132320,61.63,-107.6
100112,132410,61.63,-107.1
100112,132500,61.63,-106.5
100112,132550,61.63,-106
100112,132640,61.63,-105.6
100112,132730,61.63,-105.1
100112,132820,61.63,-104.6
100112,132910,61.63,-104.2
100112,133000,61.63,-103.8
100112,133050,61.63,-103.3
100112,133140,61.63,-102.9
100112,133230,61.63,-102.5
100112,133320,61.63,-102.1
100112,133410,61.63,-101.8
100112,133500,61.63,-101.4
100112,133550,61.63,-101
100112,133640,61.63,-100.7
100112,133730,61.63,-100.3
100112,133820,61.63,-100
100112,133910,61.63,-99.7
100112,134000,61.63,-99.4
100112,134050,61.63,-99.1
100112,134140,61.63,-98.8
100112,134230,61.63,-98.6
100112,134320,61.63,-98.5
100112,134410,61.63,-98.3
100112,134500,61.63,-98.2
100112,134550,61.63,-98.1
100112,134640,61.63,-97.9
100112,134730,61.63,-97.8
100112,134820,61.63,-97.7
100112,134910,61.63,-97.6
100112,135000,61.63,-97.4
100112,135050,61.63,-97.3
100112,135140,61.63,-97.2
100112,135230,61.63,-97.1
100112,135320,61.63,-97
100112,135410,61.63,-96.9
100112,135500,61.63,-96.8
100112,135550,61.63,-96.7
100112,135640,61.63,-96.6
100112,135730,61.63,-96.5
100112,135820,61.63,-96.4
100112,135910,61.63,-96.4
100112,140000,61.63,-96.3
